id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
49790,Luxurous Houseboat-Great Location,227530,Klaas,Amsterdam,De Baarsjes - Oud-West,52.36158,4.86101,Entire home/apt,250,3,105,2019-05-14,0.83,1,0
50523,B & B de 9 Straatjes (city center),231946,Raymond,Amsterdam,Centrum-West,52.36811,4.88262,Private room,118,2,310,2020-02-21,2.5,1,332
55621,"Fully equiped house, PIJP area = great",262846,Bharati,Amsterdam,De Pijp - Rivierenbuurt,52.35399,4.89756,Entire home/apt,222,3,32,2018-08-19,0.48,1,0
55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,Amsterdam,Centrum-Oost,52.358112,4.897637,Entire home/apt,100,4,61,2021-05-23,0.59,1,39
55868,Apartment near Museumplein (centre),264178,Cornelie,Amsterdam,Zuid,52.35597,4.88512,Entire home/apt,149,4,95,2020-01-03,0.88,1,0
62015,"Charming, beautifully & sunny place with cat Luna",301340,Jessica,Amsterdam,Oud-Oost,52.36431,4.93122,Entire home/apt,120,2,35,2017-04-29,1.01,1,0
70598,Attic room with doublebed available,339333,Nadira,Amsterdam,Noord-West,52.4129,4.92224,Private room,40,1,107,2019-10-08,1.57,1,1
75499,Red Studio Palamedes Amsterdam,400896,Edwin + Karin,Amsterdam,De Baarsjes - Oud-West,52.36326,4.87738,Entire home/apt,90,4,38,2018-01-04,0.52,2,300
76459,Yellow Studio Palamedes Amsterdam,400896,Edwin + Karin,Amsterdam,De Baarsjes - Oud-West,52.36261,4.876526,Private room,90,4,16,2017-04-13,0.26,2,0
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,Amsterdam,Centrum-West,52.37828,4.8944,Private room,82,3,228,2021-10-17,1.81,4,0
82482,The Backroom - Central private appt,186729,Shawna,Amsterdam,Centrum-West,52.36968,4.88122,Entire home/apt,112,2,885,2021-09-30,7.03,1,245
91535,"Privat room and shared Houseboat ""Ramona"" centre",494281,Michiel,Amsterdam,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,115,1,45,2020-03-02,0.7,1,54
97221,Beautiful and spacious room,195859,Gianni,Amsterdam,Slotervaart,52.34801,4.83639,Private room,45,2,201,2021-10-20,1.88,1,333
97476,Urban Oasis~beautiful street in Old South,485930,Rachel,Amsterdam,Zuid,52.35665,4.86363,Entire home/apt,99,7,53,2017-04-20,0.71,1,0
118097,"all private, city center @ home with art-1",538659,Wendie And Hans,Amsterdam,Centrum-Oost,52.3638,4.88479,Private room,77,4,398,2019-12-24,3.87,2,21
137026,Entire house with garden in De Pijp,670266,Ton & Fede,Amsterdam,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,200,3,97,2019-08-23,0.87,1,90
162467,Modern app. with brand new design bathroom,776296,Nicole,Amsterdam,De Baarsjes - Oud-West,52.3627,4.85693,Entire home/apt,155,3,60,2019-05-23,0.76,1,306
